Nombre Curso,NRC,Catedra,Ayudantia,Lab
Computación: Ciencia y Tecnología del Mundo Digital,12154,M:2;J:2,W:6,
Introduccion a las Aplicaciones Computacionales,12164,L:1;W:1,V:1,
Introduccion a las Aplicaciones Computacionales,12174,M:3;J:3,V:3,
Introducción a la Programación,12250,M:2;J:2,,M:5;M:6
Introducción a la Programación,12285,M:1;J:1,,M:5;M:6
Introducción a la Programación,12303,M:1;J:1,,M:5;M:6
Introducción a la Programación,12273,M:1;J:1,,J:5;J:6
Introducción a la Programación,12259,M:2;J:2,,J:5;J:6
Introducción a la Programación,12239,M:2;J:2,,J:5;J:6
Introducción a la Programación,12227,M:2;J:2,,W:5;W:6
Matemáticas Discretas,12315,L:1;W:1,V:1,
Matemáticas Discretas,12315,L:1;W:1,V:1,
Visualización de Información,18985,M:2;J:2,W: 5,
Diseño Detallado de Software,12336,V:4;V:5,V: 6,
Programación Como Herramienta para la Ingeniería,12347,J:4;J:5 ,M: 4,
Estructuras de Datos y Algoritmos,12357,L:4;W:4,V: 4,
Ingeniería de Software,12370,M:3;J:3,V: 6,
Ingeniería de Software,21906,M:3;J:3,V: 6,
Proyecto de especialidad,12380,J:5;J:6,J: 4,
Arquitectura de Sistemas de Software,12390,M:1;J:1,V: 2,
Teoría de Autómatas y Lenguajes Formales,12411,L:2;W:2,V: 2,
Programación Avanzada,12431,J:4;J:5 ,M: 4,
Programación Avanzada,15428,J:4;J:5 ,M: 4,
Programación Avanzada,18177,J:4;J:5 ,M: 4,
Diseño y Análisis de Algoritmos,12442,L:5;W:5,V: 5,
Sistemas Operativos y Redes,12451,L:1;W:1,V: 1,
Arquitectura de computadores,12462,M:1;J:1,L: 6,
Bases de datos,12481,L:5;W:5,V: 5,
Minería de datos,12492,M:4;J:4,M: 5 ,
Tecnologias y aplicaciones web,12501,M:2;J:2,,
Sistemas distribuidos,12510,L:3;W:3,V: 3,
Taller de Programación II,12519,,,V:4;V:5;V:6
Inteligencia artificial,12528,L:2;W:2,V: 2,
Sistemas de Información,12546,M:2;J:2,W: 2,
Sistemas de Información,16964,M:2;J:2,W: 2,
Fundamentos de Procesamiento de Imágenes,14210,M:3;J:3,,
Modelos de procesos,18659,L:3;W:3;V:3,,
"Conocimiento, Cultura y Tecnología",12568,J:4;J:5 ,M: 5 ,
Gestion de proyectos de tecnologia,3000,M:1;J:1,,
Taller de Aplicaciones en Plataformas Moviles,12641,,,W:5;W:6
Diseño avanzado de aplicaciones ,12663,L:4;W:4,,
Sistemas recomendadores,12669,M:3;J:3,L: 5,
Creacion de videojuegos,12673,V:2;V:3 ,,
Estrategias y Tecnologías de Información,12685,W:5;W;6 ,,
Testing,12697,L:1;W:1,,
Tecnologias para Gestion Estrategica,12703,L:3;W:3,V: 3,
Laboratorio de Resonancia Magnetica,12711,,,W:5;W:6 
Procesamiento Avanzado de Imagenes,15373,L:2;W:2,,
Topicos de Ciencia de la Computación,14212,M:3;J:3,,
